"Source:","/home/jan/workspace/SCM-140-ADSR/schematics/src/ioboard/ioboard_kicad/ioboard.kicad_sch"
"Date:","Fri 08 Jul 2022 05:49:32 PM CEST"
"Tool:","Eeschema (6.0.6)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"ATTACK-1, ATTACK-2, ","2","100k","ALPHA-9MMA","ioboard:EVUF","",""
"DECAY-1, DECAY-2, ","2","1M","ALPHA-9MMA","ioboard:EVUF","",""
"GATE1, ","1","Input 1","PJ301BMPJ301BM","ioboard:PJ301BM","",""
"GATE2, ","1","Input 2","PJ301BMPJ301BM","ioboard:PJ301BM","",""
"INV-OUT1, INV-OUT2, ","2","Output Inv 2","PJ301BMPJ301BM","ioboard:PJ301BM","",""
"JP1, JP5, JP10, ","3","PINHD-1X2","PINHD-1X2","ioboard:1X02","",""
"JP2, JP9, ","2","PINHD-1X3","PINHD-1X3","ioboard:1X03","",""
"JP4, JP8, ","2","PINHD-1X6","PINHD-1X6","ioboard:1X06","",""
"NORM-OUT1, ","1","Output 1","PJ301BMPJ301BM","ioboard:PJ301BM","",""
"NORM-OUT2, ","1","Output 2","PJ301BMPJ301BM","ioboard:PJ301BM","",""
"RELEASE-1, RELEASE-2, ","2","1M","ALPHA-9MMA","ioboard:EVUF","",""
"SUSTAIN-1, SUSTAIN-2, ","2","500k","ALPHA-9MMA","ioboard:EVUF","",""
